DEPT,SP,CALM,CALD,CALN,GR,MINV,MNOR,LWTLB,DRHO,SFL,RHOB,NPLS,PE,CILD,ILD,DPLS,PIRM
2830.0,,,,,,,,,,,,,,,,,
2830.5,50.63,9.05,9.1,9.25,77.7,25.43,22.83,1077.2,0.0,13.51,2.7,5.2,4.66,145.33,6.88,0.32,
2831.0,49.94,9.05,9.11,9.25,95.61,24.69,17.61,1081.17,-0.0,9.93,2.67,6.4,4.18,160.89,6.22,2.13,5.92
2831.5,48.8,9.06,9.11,9.28,121.6,19.74,12.5,1084.09,-0.01,7.03,2.62,9.43,3.97,180.03,5.55,5.43,4.94
2832.0,47.42,9.12,9.11,9.26,154.57,11.12,6.7,1083.47,-0.0,5.39,2.56,14.59,3.75,204.15,4.9,9.05,4.0
2832.5,46.03,9.14,9.11,9.53,187.12,4.1,3.38,1077.55,0.0,4.76,2.48,19.22,3.53,228.68,4.37,13.21,3.39
2833.0,44.61,9.22,9.19,10.07,213.77,3.28,2.82,1068.91,0.01,4.65,2.39,23.93,3.27,247.81,4.04,18.95,3.22
2833.5,43.22,9.33,9.96,9.77,225.92,2.23,2.53,1062.14,0.02,4.84,2.28,28.47,2.92,259.86,3.85,24.92,3.41
2834.0,42.05,9.58,9.92,9.52,194.43,2.1,2.21,1060.69,0.03,5.03,2.21,32.99,2.56,260.48,3.84,29.52,3.77
2834.5,41.78,10.12,10.01,9.6,132.4,1.98,2.39,1064.96,0.05,5.19,2.2,32.26,2.35,250.84,3.99,29.8,4.17
2835.0,42.24,10.79,10.05,9.57,93.36,2.0,2.3,1070.49,0.07,5.23,2.22,30.15,2.46,236.51,4.23,28.64,4.57
2835.5,42.62,11.19,9.62,9.47,80.76,2.16,2.44,1075.32,0.13,5.28,2.26,31.92,2.66,217.29,4.6,26.35,4.97
2836.0,42.64,10.69,9.16,9.41,77.06,2.4,2.44,1078.29,0.25,5.66,2.38,32.55,2.74,199.82,5.0,19.23,5.35
2836.5,42.68,10.08,9.15,9.37,79.78,2.69,2.68,1079.74,0.33,6.46,2.5,28.74,2.75,187.91,5.32,12.02,5.65
2837.0,43.05,9.58,9.15,9.39,83.54,3.96,3.85,1079.71,0.27,7.29,2.56,25.5,2.91,179.73,5.56,8.9,5.76
2837.5,43.41,9.27,9.15,9.43,88.57,6.02,5.47,1078.41,0.15,7.57,2.55,22.48,3.22,173.83,5.75,9.37,5.68
2838.0,43.2,9.21,9.15,9.42,92.53,6.47,5.67,1074.2,0.07,7.3,2.53,19.96,3.52,170.53,5.86,10.33,5.54
2838.5,42.28,9.43,9.15,9.38,95.32,5.04,4.93,1067.59,0.05,6.95,2.53,19.87,3.75,170.74,5.86,10.78,5.43
2839.0,40.88,9.48,9.15,9.36,92.76,2.87,3.57,1061.27,0.06,6.85,2.54,22.3,3.66,175.01,5.71,9.99,5.38
